K_cap,seed,n_gen,pop_size,wall_sec,best_fitness,ga_reports_feasible,floor_partition_violation,k_cap_excess,plate_area_violation_m2,type_total_violation_units,min_floors_violation,n_active_templates,type_totals_achieved,type_totals_target
3,42,8000,250,133.78,30710.500000000025,False,0.0,2,37.1,7,0.0,5,57;226;265;120;141,58;228;264;120;144
8,42,8000,250,210.04,13980.700000000019,False,0.0,0,19.8,12,0.0,7,57;223;260;118;144,58;228;264;120;144
