zone,plate,n_floors,template_total_units,template_total_area,studio_count,studio_area,1B_count,1B_area,2B_count,2B_area,2B+D_count,2B+D_area,3B_count,3B_area
1,M,17,20,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
2,M,4,18,1386.9,2,42.0,8,56.02,0,0.0,5,96.6,3,123.9
3,M,16,18,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
4,T,12,7,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
5,C,6,5,582.9,0,0.0,0,0.0,0,0.0,1,87.4,4,123.88
